Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
"2,4-D (PRESENT AS AMINE SALTS : DIMETHYLAMINE SALT, DIETHANOLAMINE SALT, OR OTHER AMINE SALTS)","2,4-D (N.M.) (PRÉSENT SOUS FORME DES SELS D'AMINE : DIMÉTHYLAMINE, DIÉTHANOLAMINE, OU D'AUTRES SELS D'AMINE)",YES,
"2,4-D (PRESENT AS CHOLINE SALT)","2,4-D (N.M.) (PRÉSENT SOUS FORME DE SEL DE CHOLINE)",YES,1048373-72-3
"2,4-D (PRESENT AS LOW VOLATILE ESTERS)","2,4-D (N.M.) (PRÉSENT SOUS FORME D'ESTERS PEU VOLATILS)",YES,
"2,4-D (PRESENT AS MIXED BUTYL ESTERS)","2,4-D  (N.M.)  (PRÉSENT SOUS FORME D'ESTERS DE BUTYLE MÉLANGES)",NO,
"2,4-D (PRESENT AS SODIUM SALT)","2,4-D (N.M.) (PRÉSENT SOUS FORME DE SEL DE SODIUM)",NO,2702-72-9
"2,4-D (PRESENT AS TROLAMINE SALT)","2,4-D (N.M.) (PRÉSENT SOUS FORME DE SEL DE TROLAMINE)",NO,2569-01-9
"2,4-DB","2,4-DB (N.M.)",NO,94-82-6
"2,4-DB (PRESENT AS 2-ETHYLHEXYL ESTER)","2,4-DB (N.M.) (PRÉSENT SOUS FORME D'ESTER 2-ÉTHYLHÉXYLE)",NO,7720-36-7
"2,4-DB (PRESENT AS BUTYL ESTER)","2,4-DB (N.M.) (PRÉSENT SOUS FORME D'ESTER BUTYLE)",NO,6753-24-8
"2,4-XYLENOL (OR 2,4-DIMETHYLPHENOL)","XYLENOL-2,4 (OU DIMETHYL-2,4 PHENOL) (M)",NO,105-67-9
"2,6-DIISOPROPYLNAPHTHALENE","2,6-DIISOPROPYLNAPHTHALÈNE",NO,24157-81-1
"2-(HYDROXYMETHYL)-2-NITRO-1,3-PROPANEDIOL",TRIS (HYDROXYMÉTHYL) NITROMÉTHANE (N.M.),YES,126-11-4
2-(P-HYDROXYPHENYL)GLYOXYLOHYDROXYMOYL CHLORIDE,CHLORURE DE (P-HYDROXYPHENYL)-2 GLYOXYLOHYDROXYMOYL (M),NO,34911-46-1
2-(THIOCYANOMETHYLTHIO)BENZOTHIAZOLE,BENZOTHIAZOLE DE 2-(THIOCYANOMÉTHYLTHIO),YES,21564-17-0
2-BROMO-4'-HYDROXYACETOPHENONE,BROMO-2 HYDROXY-4' ACETOPHENONE,NO,2491-38-5
2-HYDROXYETHYL N-OCTYL SULFIDE PLUS RELATED ACTIVE COMPOUNDS,SULFURE HYDROXYETHYL-2 DE N-OCTYLE ET DERIVES ACTIFS (M),NO,3547-33-9
2-METHYL-1-BUTANOL,2-MÉTHYL-1-BUTANOL (N.M.),NO,137-32-6
2-METHYL-4-ISOTHIAZOLIN-3-ONE,2-MÉTHYL-4-ISOTHIAZOLIN-3-ONE,YES,2682-20-4
2-N-OCTYL-4-ISOTHIAZOLIN-3-ONE,2-N-OCTYL-4-ISOTHIAZOLIN-3-ONE,NO,26530-20-1
2-PHENETHYL PROPIONATE,PROPIONATE DE 2-PHÉNÉTHYLE,NO,122-70-3
